[2018-09-11 14:54:26.285] 603,ax,ay,az,gx,gy,gz,mx,my,mz,q0,q1,q2,q3,yaw,pitch,roll
[2018-09-11 14:57:30.880] ,-10.99,-66.65,888.43,-1.25,-3.48,-1.03,-1292.62,19.45,-367.88,0.69,-0.02,0,-0.72,-106.16,-1.45,-1.59
[2018-09-11 14:57:31.429] ,21,-16.24,890.5,-2.09,-1.26,0.08,-1284.59,125.3,-155.45,0.72,-0.02,-0.01,-0.7,-102.36,-2.66,-1.41
[2018-09-11 14:57:31.978] ,6.96,-33.08,885.01,-1.19,-1.28,0.41,-1286.05,157.42,-157.64,0.76,-0.02,-0.01,-0.65,-94.84,-2.2,-1.44
[2018-09-11 14:57:32.519] ,48.83,-28.81,882.93,-1.32,-0.84,0.22,-1272.18,139.17,-115.3,0.75,-0.03,-0.01,-0.66,-96.3,-2.69,-2.07
[2018-09-11 14:57:33.066] ,48.34,-26.86,886.84,-0.13,0.77,10.94,-1280.21,1164.82,38.73,0.75,-0.04,-0.01,-0.66,-96.52,-4.04,-2.03
[2018-09-11 14:57:33.611] ,37.6,-16.11,889.04,1.21,-9.12,-4.14,-1283.13,-277.66,-907.35,0.84,-0.02,-0.01,-0.54,-78.6,-1.96,-1.68
[2018-09-11 14:57:34.160] ,119.38,-14.4,885.38,-0.44,-7.79,-0.72,-1288.24,49.38,-780.33,0.83,-0.03,-0.03,-0.55,-80.59,-5.32,-1.16
[2018-09-11 14:57:34.709] ,102.29,-7.81,873.54,-1.54,-1.71,1.49,-1286.05,260.35,-198.52,0.82,-0.04,-0.03,-0.57,-83.59,-5.5,-1.12
[2018-09-11 14:57:35.255] ,102.78,-21.85,882.93,-1.38,-0.92,-0.26,-1275.83,93.18,-122.6,0.82,-0.04,-0.04,-0.58,-84.24,-6.34,-1.4
[2018-09-11 14:57:35.804] ,175.54,22.83,901.73,-0.45,0.3,3.11,-1291.16,415.11,-6.53,0.75,-0.04,-0.04,-0.66,-96.93,-6.46,-0.68
[2018-09-11 14:57:36.349] ,71.17,-46.14,865.72,-1.88,2.23,-2.68,-1282.4,-138.23,178.16,0.72,-0.04,-0.02,-0.69,-100.99,-4.28,-1.58
[2018-09-11 14:57:36.893] ,-35.64,-61.52,869.63,-1.1,1.01,-0.63,-1284.59,57.41,62.09,0.71,-0.03,-0.01,-0.7,-103.27,-3.63,-1.72
[2018-09-11 14:57:37.442] ,38.82,-21.48,895.39,-1.28,-0.08,0.6,-1282.4,175.67,-43.03,0.73,-0.03,-0.01,-0.69,-100.46,-2.73,-1.5
[2018-09-11 14:57:37.986] ,34.18,-21.24,892.82,-1.14,-2.13,0.83,-1278.02,197.57,-238.67,0.75,-0.03,-0.01,-0.66,-97.14,-2.87,-1.6
[2018-09-11 14:57:38.529] ,56.4,-86.55,939.94,0.44,-4.3,-7.73,-1276.56,-621.49,-446.72,0.73,-0.02,0,-0.69,-100.81,-1.57,-0.89
[2018-09-11 14:57:39.074] ,114.14,-5.49,904.66,-0.51,-0.53,5.33,-1282.4,627.54,-86.1,0.77,-0.01,-0.01,-0.63,-92.44,-1.3,-0.31
[2018-09-11 14:57:39.620] ,69.7,-0.24,906.37,-1.23,-2.3,-4.98,-1278.75,-358.69,-254.73,0.75,-0.01,0,-0.67,-97.19,-0.96,-0.44
[2018-09-11 14:57:40.165] ,-2.69,-3.54,889.16,-1.31,-6.52,3.58,-1280.21,460.37,-659.15,0.74,-0.02,-0.01,-0.67,-98.09,-2.49,-0.42
[2018-09-11 14:57:40.706] ,36.01,-6.35,887.08,-1.24,-2.98,3.18,-1276.56,422.41,-319.7,0.75,-0.01,-0.01,-0.66,-96.22,-2,-0.47
[2018-09-11 14:57:41.252] ,-3.78,-16.36,885.25,-1.12,-0.76,-2.1,-1277.29,-82.75,-108,0.73,-0.01,0,-0.68,-100.09,-1.28,-0.63
[2018-09-11 14:57:41.799] ,-20.75,-9.4,873.9,-1.17,0.04,-1.95,-1272.18,-68.88,-31.35,0.77,-0.01,-0.01,-0.63,-92.27,-1.52,-0.77
